
block,愛媛1区,namae,永江 孝子,age,54,party,民主,status,元,namae,塩崎 恭久,age,64,party,自民,status,前,namae,田中 克彦,age,47,party,共産,status,新,
block,愛媛2区,namae,植木 正勝,age,62,party,共産,status,新,namae,横山 博幸,age,64,party,維新,status,新,namae,西岡 新,age,41,party,無所,status,前,namae,村上 誠一郎,age,62,party,自民,status,前,
block,愛媛3区,namae,一色 一正,age,64,party,共産,status,新,namae,白石 徹,age,58,party,自民,status,前,namae,白石 洋一,age,51,party,民主,status,元,
block,愛媛4区,namae,桜内 文城,age,49,party,次世,status,前,namae,森 夏枝,age,33,party,維新,status,新,namae,西井 直人,age,57,party,共産,status,新,namae,山本 公一,age,67,party,自民,status,前,
