秋田1区,namae,冨樫 博之,age,57,party,自民,status,新,namae,寺田 学,age,36,party,民主,status,前,namae,佐竹 良夫,age,62,party,共産,status,新,namae,高松 和夫,age,70,party,未来,status,前,namae,近江屋 信広,age,63,party,維新,status,元,,,
秋田2区,namae,石田 寛,age,65,party,社民,status,新,namae,川口 博,age,65,party,民主,status,前,namae,佐藤 邦靖,age,57,party,共産,status,新,namae,金田 勝年,age,63,party,自民,status,前,,,
秋田3区,namae,佐藤 長右衛門,age,68,party,共産,status,新,namae,京野 公子,age,62,party,未来,status,前,namae,御法川 信英,age,48,party,自民,status,元,namae,三井 マリ子,age,64,party,民主,status,新,namae,村岡 敏英,age,52,party,維新,status,新,,
