京都1区,namae,祐野 恵,age,33,party,民主,status,新,namae,穀田 恵二,age,65,party,共産,status,前,namae,平 智之,age,53,party,みんな,status,前,namae,伊吹 文明,age,74,party,自民,status,前,namae,田部 雄治,age,36,party,諸派,status,新,namae,田坂 幾太,age,60,party,維新,status,新,,,
京都2区,namae,佐藤 大,age,33,party,社民,status,新,namae,原 俊史,age,45,party,共産,status,新,namae,前原 誠司,age,50,party,民主,status,前,namae,上中 康司,age,50,party,自民,status,新,,,
京都3区,namae,泉 健太,age,38,party,民主,status,前,namae,山内 成介,age,47,party,維新,status,新,namae,石村 和子,age,62,party,共産,status,新,namae,宮崎 謙介,age,31,party,自民,status,新,,,
京都4区,namae,北神 圭朗,age,45,party,民主,status,前,namae,石田 哲雄,age,62,party,みんな,status,新,namae,吉田 幸一,age,38,party,共産,status,新,namae,和田 美奈,age,30,party,諸派,status,新,namae,豊田 潤多郎,age,63,party,未来,status,前,namae,畑本 久仁枝,age,58,party,維新,status,新,namae,田中 英之,age,42,party,自民,status,新,namae,中川 泰宏,age,61,party,無所,status,元,,,
京都5区,namae,小原 舞,age,38,party,民主,status,前,namae,谷垣 禎一,age,67,party,自民,status,前,namae,吉田 早由美,age,62,party,共産,status,新,namae,沼田 憲男,age,65,party,未来,status,新,,,
京都6区,namae,安藤 裕,age,47,party,自民,status,新,namae,清水 鴻一郎,age,66,party,維新,status,元,namae,上條 亮一,age,26,party,共産,status,新,namae,山井 和則,age,50,party,民主,status,前,,
