青森1区,namae,横山 北斗,age,49,party,未来,status,前,namae,津島 淳,age,46,party,自民,status,新,namae,升田 世喜男,age,55,party,維新,status,新,namae,斎藤 美緒,age,32,party,共産,status,新,namae,波多野 里奈,age,39,party,民主,status,新,,,
青森2区,namae,小笠原 良子,age,63,party,共産,status,新,namae,中野渡 詔子,age,42,party,未来,status,前,namae,江渡 聡徳,age,57,party,自民,status,前,namae,中村 友信,age,57,party,民主,status,新,,,
青森3区,namae,松橋 三夫,age,63,party,共産,status,新,namae,田名部 匡代,age,43,party,民主,status,前,namae,山内 卓,age,34,party,未来,status,新,namae,大島 理森,age,66,party,自民,status,前,,,
青森4区,namae,千葉 浩規,age,51,party,共産,status,新,namae,木村 太郎,age,47,party,自民,status,前,namae,津島 恭一,age,58,party,民主,status,前,,
