群馬1区,namae,後藤 新,age,52,party,未来,status,新,namae,上野 宏史,age,41,party,維新,status,新,namae,生方 秀男,age,64,party,共産,status,新,namae,宮崎 岳志,age,42,party,民主,status,前,namae,佐田 玄一郎,age,59,party,自民,status,前,,,
群馬2区,namae,桑原 功,age,67,party,民主,status,前,namae,井野 俊郎,age,32,party,自民,status,新,namae,関口 直久,age,62,party,共産,status,新,namae,石関 貴史,age,40,party,維新,status,前,,,
群馬3区,namae,長谷川 嘉一,age,60,party,未来,status,新,namae,柿沼 正明,age,47,party,民主,status,前,namae,笹川 博義,age,46,party,自民,status,新,namae,渋沢 哲男,age,53,party,共産,status,新,,,
群馬4区,namae,福田 達夫,age,45,party,自民,status,新,namae,青木 和也,age,25,party,民主,status,新,namae,萩原 貞夫,age,63,party,共産,status,新,namae,宮原田 綾香,age,28,party,維新,status,新,,,
群馬5区,namae,小林 人志,age,61,party,社民,status,新,namae,糸井 洋,age,44,party,共産,status,新,namae,小渕 優子,age,39,party,自民,status,前,,
