滋賀1区,namae,奥村 利樹,age,49,party,維新,status,新,namae,西田 幸光,age,55,party,無所,status,新,namae,節木 三千代,age,54,party,共産,status,新,namae,川端 達夫,age,67,party,民主,status,前,namae,大岡 敏孝,age,40,party,自民,status,新,,,
滋賀2区,namae,中川 睦子,age,54,party,共産,status,新,namae,世一 良幸,age,52,party,みんな,status,新,namae,上野 賢一郎,age,47,party,自民,status,元,namae,田島 一成,age,50,party,民主,status,前,,,
滋賀3区,namae,三日月 大造,age,41,party,民主,status,前,namae,武村 展英,age,40,party,自民,status,新,namae,西川 仁,age,65,party,共産,status,新,namae,久保田 暁,age,44,party,維新,status,新,,,
滋賀4区,namae,小西 理,age,54,party,無所,status,元,namae,西沢 耕一,age,34,party,共産,status,新,namae,武藤 貴也,age,33,party,自民,status,新,namae,岩永 裕貴,age,39,party,維新,status,新,namae,奥村 展三,age,68,party,民主,status,前,,
